,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11
HSinc5,0.0114890483318694,0.010011358991685705,0.7886945705655476,-0.5035754858446782,0.19026531592605153,0.05580516778782408,0.030018975472023417,-0.15569707729788088,0.025216610801740383,0.05723757137394869,-0.041592927133695404,0.009478894937449809
HMode5,0.2643468368971227,-0.136394373197795,0.7177539451980395,-0.3715393761178494,0.3398311104534428,-0.2724976312438944,0.06695748897875121,-0.10121899368996107,-0.05064794071241985,-0.05763426358588887,0.017179476010910816,0.03202045930296653
HGree10,0.038107000173309424,-0.18663623613257913,0.7838945715652015,-0.3551634262269102,0.29239504370137614,-0.2244084709337086,0.108038261546598,-0.16387338739889454,-0.06993997203326671,0.019652192516288063,0.010966646911506409,0.03288798044972358
HSinc3,0.15369682840137472,-0.0464842415760937,0.6145816872674796,-0.6580612293021677,0.25360477426571104,-0.03644890692922668,-0.03681371570676136,-0.17117694616445348,-0.022967442732038625,0.013167851050185385,-0.11768772713870214,0.006356036113323964
HGree4,0.2500549495394671,-0.1346557760465895,0.6851383228059019,-0.36468817835070955,0.38626642947390405,-0.31522387249598155,0.017592843167981494,-0.12987407789526106,-0.009830772855777593,-0.08962770792520255,-0.010841699002877347,0.049981114099756065
AGent10,-0.08216901939777609,-0.08485201324617955,0.787872249857243,-0.10301108847731569,0.5037407817381756,-0.2167281668288029,0.008406827452849644,-0.03892145544527153,-0.1498712555065809,0.10919101780113408,0.0546626831458236,0.06471127737855216
AGent8,-0.0466265654321022,0.30386331799749366,0.8130562871115742,-0.04364379186541798,0.4305720841938332,-0.17738546680436076,0.002239169378942343,-0.06478018348050657,-0.1140290876637858,0.0966752077853518,0.021400373383963348,0.06951205829880362
HFair7,0.09590096628437775,0.054679556099511126,0.8197325839748999,-0.4069791417382881,0.09381056584081052,0.04075670465137826,-0.009046809171112658,-0.16730295278166246,-0.02305465228662134,0.00550450603068156,-0.07527368689577632,0.0014827363183047837
HSinc7,-0.181805994679293,-0.1979647475809902,0.8286065393536363,-0.36906829418676446,0.19183360820524556,0.07426115554563538,-0.0008394736470136231,-0.08660954205661431,-0.040741161440824215,0.04447627971099683,-0.08685466552949506,0.002012905036656367
EAnxi4,-0.18739370403283223,0.8067902150973447,-0.16345537169482155,-0.10802227473998398,0.4857497364933505,0.11181876427909118,-0.06081785656136079,0.036319221435851,0.1744038026514749,-0.046592226047677134,0.03352345028381259,0.03047151127242505
EDepe1,-0.16850129113707832,0.8062111399862159,-0.20866720438298017,-0.29229902984607775,0.3600559670414933,0.020783919388061376,-0.10410710196771879,-0.01498075841070895,0.07600451256664606,-0.04692624920661696,0.03231649373918556,0.006237760574983262
EAnxi5,-0.4021745876461385,0.8306077841645544,0.015767024558267857,-0.07917252821601718,0.4110379195435972,0.08731860392992523,-0.06070786768036619,0.033423282595305845,0.05566322833043472,-0.04452418609299201,-0.0002471607167688439,0.03748595017187001
EAnxi2,-0.3063821957620824,0.6303818045265505,-0.19693595653450857,-0.12728628208364698,0.5913441784080523,0.08641550672302317,-0.11507044762261141,0.10546089647869226,0.10092423354034048,-0.10163807757084935,0.003809140345828095,0.018484362821165376
