,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11
HSinc5,0.6664318765128402,0.06024016993613089,-0.04327499348676737,0.0588865263124839,-0.26415426249846047,-0.4111209852008861,0.4619010005596666,0.2857020929630162,-0.10023019568392229,-0.0019038774163041082,0.08158578983769244,-0.026376150182603933
HMode5,0.7152329329007773,-0.17746691140841597,-0.2614136346106149,0.03952343757254712,0.04662052299408759,-0.415794668289351,0.30254210996729314,0.2615405366455571,-0.1613520461872304,0.0811921479670099,-0.066192695542165,-0.07538055880201233
HGree10,0.6918097975142922,0.07210314495087784,-0.27970133446728734,-0.006093330676911867,-0.05784644271168461,-0.4613808097379192,0.29946446487892825,0.33667761421363807,-0.13663969925107647,0.03467299956822317,0.00662011707171035,-0.07297714048113206
HSinc3,0.6204468266652992,-0.08866512489366396,-0.1106383079473005,0.19496606493488766,-0.13982547421028338,-0.29979223776426595,0.5610112069028418,0.3209273107291458,-0.11084433404114508,0.09093372246346396,0.041985305499287785,-0.07532684747232286
HGree4,0.7320878365871093,-0.1594084608334864,-0.26246394058989697,0.043244408981399245,0.1253006319248942,-0.3739970868361251,0.32972710926510074,0.23575305755576748,-0.09446945362884272,0.1255349078437271,-0.04388659129286658,-0.06022461642643467
AGent10,0.8656024247631567,0.16440935847861657,-0.22436131808510903,0.09376343654325137,0.021811690813936198,-0.3052711735880497,0.03580246458901783,0.18170425662656026,-0.09468047959074793,-0.108708640511368,0.005826703746342405,0.009920406350884358
AGent8,0.8918935948001716,0.10476013459547118,0.16971274052925908,0.059877258880602025,0.023093586727872657,-0.33844101970680857,0.01987170316078158,0.16047042982731316,-0.03484995145223168,-0.11756589246403844,-0.023890757162927188,-0.008836515077356506
HFair7,0.6236892279723777,-0.016931057171517678,0.013569833609365037,0.09367306719264655,-0.2842127904867202,-0.4915649471535656,0.3813662357075261,0.27877124950203946,-0.058402143535033244,0.046763861141315845,0.020007509320915263,-0.06654243096461211
HSinc7,0.6441535653487444,0.2617460529852431,-0.2507060473420032,0.08300861615371413,-0.3457921191517234,-0.4181602699536753,0.31849063509854986,0.21666673640957063,-0.07998893797186071,0.04051213984366846,0.12330603014219542,0.009375908496088638
EAnxi4,0.3637262528385416,0.11446253898805421,0.7009248585861282,0.033277197114087595,0.13881309303552306,0.5609932149206333,0.18212560969451894,-0.10281423985843298,0.05860570134721003,0.004276345312300773,-0.07831532302226514,-0.05199233430313406
EDepe1,0.27300820191352715,0.13389629812643686,0.7186136158984933,0.16162846035061196,0.22883806087687392,0.4695123581118617,0.27192597201368107,0.03156788154900216,0.010065852843361051,0.027910939039639933,-0.12517742287907518,-0.10776292297539962
EAnxi5,0.4244517152226577,0.3814519592379114,0.7420648584319206,0.09076246424395219,0.09119166580386368,0.3901041976584937,0.10899508865307361,-0.0624583349154355,0.004283650914303415,0.031635535099538155,0.002519931243035136,-0.0032107808384382866
EAnxi2,0.38933584720138753,0.25122842732638306,0.5265346911181733,0.12581852482974712,0.1551425353258088,0.619694144915763,0.13602712256884666,-0.140793325069712,-0.010343785520108752,0.07307056223871865,-0.09336617298691714,-0.050525356813815536
