,F0,F1,F2,F3,F4,F5,F6,F7
E1,0.70165882703857,0.47333132072166223,0.09062448696424878,-0.3738237970804944,0.2959716935907593,-0.03910456691926644,0.177037392963183,0.01591522818602348
E2,-0.6675485797829117,-0.46976204526229437,-0.0264792594372285,0.32971392643434405,-0.4127717765340088,-0.003984366863706082,0.19814474465406634,0.06446226866713377
E3,0.9006325520867797,0.2247466665211588,-0.13064505513303684,-0.25724404722062805,0.17663852773475947,-0.06726682716636538,0.10391407058971208,-0.027687499108221086
E4,-0.7576365068079697,-0.4595236689282415,-0.026734170598917976,0.3491351379648443,-0.18893124604321618,0.006518360505468535,0.19221752781642026,-0.03664185309509775
E5,0.817720932811768,0.29947858486429624,0.041397977344019336,-0.29203889614006706,0.36195250140091845,-0.05660776071135288,0.004787006218068495,-0.03363841376508387
E6,-0.7618339706342483,-0.34083314274053905,-0.18796994338459966,0.08209124597846741,-0.3260742706860817,-0.032970841657400975,0.31508806792514193,0.05963051960236145
E7,0.7918521761859647,0.3870113477205915,0.011939317449213472,-0.31754647356975313,0.3095853284201079,-0.07504395670194107,0.055277900430491474,-0.023209692302952112
E8,-0.5525872432837323,-0.6200389125508884,-0.15080246811578457,0.3885136428733514,-0.24781344942971414,-0.09341992729687743,0.053203579436115714,-0.1523375591093293
E9,0.6596650473740625,0.5381812355911304,0.2238339947237124,-0.32883839758989397,0.26813464214850935,-0.0028671707186203655,0.12600330318816216,0.07430620882972527
E10,-0.7848546214848334,-0.4427683107183742,-0.009641602233875076,0.3188294549653312,-0.14350688557598013,0.03255262360112856,0.15063494259526192,-0.07525579156195539
N1,-0.6544403815091613,-0.16919969317948252,0.10927962687172343,-0.21199286663254188,0.6487180749508438,0.08055644261045183,-0.1472708301096872,-0.09958055544323344
N2,0.5842952448047319,0.22484128864082983,-0.15912384214579195,0.2500154242427315,-0.4754120455421742,-0.06839243876710274,0.4908231504355302,-0.06018461339705191
N3,-0.5364289911390561,-0.3171030009832101,0.11290955544413092,-0.10908544479101963,0.6868122251221823,0.09002698867910904,-0.08083593897009195,-0.11067829598888564
N4,0.5387516638453056,0.08703162790573117,-0.1391019828607875,-0.10751748036932633,-0.4190241310416968,0.11896759205591949,0.4529381378354226,-0.21715613669725248
N5,-0.7076966066248648,0.05373718328293022,0.04719048305188299,-0.26982377868302343,0.592957682927857,0.13288074970183367,0.11656411029084879,-0.022803683244748053
N6,-0.6693874934728808,-0.06150287492374047,0.12335129239559658,-0.24474081913344908,0.6659761948365116,0.042620676834610585,0.0200353410971442,-0.0023114603468145827
N7,-0.6505824867491758,0.11850813907727553,0.24202414165393427,-0.18740328377304385,0.6250399047339589,-0.10200621204780583,0.08392336650237014,0.1815723476061671
N8,-0.6664786136017057,0.10506549501162096,0.22885978237520752,-0.1946056239077084,0.6049326720973859,-0.11646205548646935,0.06919550389527462,0.19632150164393886
N9,-0.7215518760462277,0.02423233703045098,0.3204047703167962,-0.30034937599668,0.5089505374883198,0.012236379241453679,-0.0071444643049790365,-0.08627097149337501
N10,-0.7824475623054109,-0.059532323283978866,0.23023677520468458,0.04825347612562439,0.5035616275497543,-0.1300844922247378,-0.08421696645840146,0.14423612393360907
A1,-0.4199717630929796,0.28270223645620113,0.28995348077540256,-0.34221796124521653,-0.3573039047392043,-0.03741538452468568,0.48232829458424625,0.22842491388409708
A2,0.7024547214148749,0.002618831223545248,-0.25396030981950907,0.12777466473025217,0.5895763250737233,-0.05427577109261956,0.004350579366223666,-0.15915113761041413
A3,-0.5009809103679225,0.54017797566165,0.49847103944432547,-0.20744488280796775,0.009059484477222674,-0.047470860074138685,0.01578764119398942,-0.3236990909528528
A4,0.4012400644612584,-0.3548889311472968,-0.4029471445844972,0.23598006678829234,0.6242801963343716,-0.04728902003527592,0.12090267009675232,0.02988285447446506
A5,-0.492594021182216,0.2151476986209215,0.43526114029376944,-0.24904771771347875,-0.6016292161008525,0.032933544075525685,0.17966381020422625,0.026763999795707014
A6,0.22760471747561117,-0.36648872403760147,-0.4448791586586883,0.13440633092471888,0.6656804720199992,0.02121712872565066,0.2778965634527614,0.09784323342563903
A7,-0.6730856327743706,0.07086649567954383,0.3645491294367686,-0.15697401473596032,-0.5371849752676244,-0.013785943014402923,0.18646856377564883,0.07621221642453228
A8,0.559426444604223,-0.32899261155200615,-0.34991024022569733,0.21949329323834516,0.5698892762634766,-0.14533423873443146,0.12222993965758937,-0.10135119734181217
A9,0.4292637676378375,-0.316154140708097,-0.288939699531484,0.17860000053034925,0.6927952790338683,-0.0592402106280609,0.1860250532791083,0.09293563293338827
A10,0.8221794941669127,-0.0926070075615346,-0.12105116487622143,-0.020902715165190478,0.36416357530229887,-0.07705441692578405,0.35445885179035147,0.06450033027063656
C1,0.5028699132427125,-0.6812302535888993,0.32921258051953983,-0.2520716438721695,-0.19733734112296972,-0.06859728287708865,0.08084924050578812,-0.1057607876197108
C2,-0.2666269455254007,0.6491008420730776,-0.05298888717147805,0.41709802283842773,0.341405176743973,-0.08635742401735856,0.2247210616745622,-0.38053841366269603
C3,0.3591032676686024,-0.698603299897018,0.48956085573390834,0.08268380496063142,0.062382514636526686,-0.07924040545877299,0.17742051039505743,-0.08159944725527661
C4,-0.6510696966914642,0.5384079858671135,-0.02747261097626152,0.19874338511285847,0.4201990880050944,-0.02651746177383057,0.14473983397810294,-0.18802469259322752
C5,0.4796280071219944,-0.6692614587043098,0.09469759358273712,-0.4600853343541579,-0.1590638588977647,-0.010345194857358107,0.10089413792080992,0.15852476682832434
